KO	GeneNumber	Description
K01462	1	 PDF, def; peptide deformylase [EC:3.5.1.88]
K00604	1	 MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]
K00788	2	 thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K03154	1	 thiS; sulfur carrier protein
K03149	1	 thiG; thiazole synthase [EC:2.8.1.10]
K03500	1	 rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
K01409	1	 KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
K13292	1	 lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
K07277	2	 SAM50, TOB55, bamA; outer membrane protein insertion porin family
K09800	1	 tamB; translocation and assembly module TamB
K03799	1	 htpX; heat shock protein HtpX [EC:3.4.24.-]
K03701	2	 uvrA; excinuclease ABC subunit A
K03969	1	 pspA; phage shock protein A
K00824	1	 dat; D-alanine transaminase [EC:2.6.1.21]
K01424	3	 E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]
K01207	1	 nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
K02564	1	 nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
K18676	1	 gspK; glucosamine kinase [EC:2.7.1.8]
K13993	1	 HSP20; HSP20 family protein
K01092	2	 E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K01867	1	 WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]
K02669	1	 pilT; twitching motility protein PilT
K04094	1	 trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
K03168	1	 topA; DNA topoisomerase I [EC:5.99.1.2]
K00891	1	 E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]
K01736	1	 aroC; chorismate synthase [EC:4.2.3.5]
K04564	1	 SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K02346	1	 dinB; DNA polymerase IV [EC:2.7.7.7]
K06971	1	 K06971; uncharacterized protein
K02276	1	 coxC, ctaE; cytochrome c oxidase subunit III [EC:1.9.3.1]
K02016	2	 ABC.FEV.S; iron complex transport system substrate-binding protein
K02015	1	 ABC.FEV.P; iron complex transport system permease protein
K02013	1	 ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]
K16092	1	 btuB; vitamin B12 transporter
K03575	1	 mutY; A/G-specific adenine glycosylase [EC:3.2.2.31]
K01470	6	 E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
K00059	5	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K01761	1	 E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]
K03405	1	 chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]
K00311	1	 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00681	6	 ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K01338	2	 lon; ATP-dependent Lon protease [EC:3.4.21.53]
K01008	1	 selD, SEPHS; selenide, water dikinase [EC:2.7.9.3]
K06980	1	 ygfZ; tRNA-modifying protein YgfZ
K00384	2	 trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]
K01990	3	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K01992	3	 ABC-2.P; ABC-2 type transport system permease protein
K03924	4	 moxR; MoxR-like ATPase [EC:3.6.3.-]
K00184	1	 K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185	1	 K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K01791	2	 wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K15396	1	 trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]
K03116	2	 tatA; sec-independent protein translocase protein TatA
K03680	1	 EIF2B4; translation initiation factor eIF-2B subunit delta
K02437	1	 gcvH, GCSH; glycine cleavage system H protein
K00281	1	 GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
K03800	1	 lplA, lplJ; lipoate---protein ligase [EC:6.3.1.20]
K03561	2	 exbB; biopolymer transport protein ExbB
K08309	1	 slt; soluble lytic murein transglycosylase [EC:4.2.2.-]
K03704	3	 cspA; cold shock protein (beta-ribbon, CspA family)
K02335	1	 polA; DNA polymerase I [EC:2.7.7.7]
K03111	2	 ssb; single-strand DNA-binding protein
K03086	3	 rpoD; RNA polymerase primary sigma factor
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00140	1	 mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00823	1	 puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
K11928	2	 putP; sodium/proline symporter
K01434	2	 E3.5.1.11; penicillin amidase [EC:3.5.1.11]
K03703	2	 uvrC; excinuclease ABC subunit C
