KO	GeneNumber	Description
K06178	1	 rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K00945	1	 cmk; CMP/dCMP kinase [EC:2.7.4.25]
K06213	2	 mgtE; magnesium transporter
K10907	2	 K10907; aminotransferase [EC:2.6.1.-]
K00812	2	 aspB; aspartate aminotransferase [EC:2.6.1.1]
K01996	4	 livF; branched-chain amino acid transport system ATP-binding protein
K01995	4	 livG; branched-chain amino acid transport system ATP-binding protein
K01998	4	 livM; branched-chain amino acid transport system permease protein
K01997	4	 livH; branched-chain amino acid transport system permease protein
K01999	14	 livK; branched-chain amino acid transport system substrate-binding protein
K00059	10	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K02027	48	 ABC.MS.S; multiple sugar transport system substrate-binding protein
K07133	1	 K07133; uncharacterized protein
K18831	2	 higA; HTH-type transcriptional regulator / antitoxin HigA
K09951	1	 cas2; CRISPR-associated protein Cas2
K15342	1	 cas1; CRISP-associated protein Cas1
K19126	1	 casE, cse3; CRISPR system Cascade subunit CasE
K19125	1	 casD, cse5; CRISPR system Cascade subunit CasD
K19124	1	 casC, cse4; CRISPR system Cascade subunit CasC
K19046	1	 casB, cse2; CRISPR system Cascade subunit CasB
K19123	1	 casA, cse1; CRISPR system Cascade subunit CasA
K07012	2	 cas3; CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]
K03427	3	 hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
K09803	2	 K09803; uncharacterized protein
K07341	2	 doc; death on curing protein
K06902	3	 UMF1; MFS transporter, UMF1 family
K02015	1	 ABC.FEV.P; iron complex transport system permease protein
K02013	1	 ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]
K00798	1	 MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K06147	12	 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
K07667	2	 kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
K12339	1	 cysM; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
K03636	2	 moaD, cysO; sulfur-carrier protein
K03555	1	 mutS; DNA mismatch repair protein MutS
K02238	1	 comEC; competence protein ComEC
K03518	3	 coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
K07316	2	 mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K03572	1	 mutL; DNA mismatch repair protein MutL
K03545	1	 tig; trigger factor
K01358	1	 clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
