KO	GeneNumber	Description
K00091	1	 E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00571	3	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00341	1	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00392	1	 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00097	1	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00320	1	 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
