KO	GeneNumber	Description
K07110	2	 ramB; XRE family transcriptional regulator, fatty acid utilization regulator
K01810	1	 GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
K01625	1	 eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
K01690	1	 edd; phosphogluconate dehydratase [EC:4.2.1.12]
K01057	1	 PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]
K00036	1	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00134	2	 GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K02510	1	 hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
K01560	2	 E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
K02058	1	 ABC.SS.S; simple sugar transport system substrate-binding protein
K02057	4	 ABC.SS.P; simple sugar transport system permease protein
K02056	2	 ABC.SS.A; simple sugar transport system ATP-binding protein [EC:3.6.3.17]
K09967	1	 K09967; uncharacterized protein
K03741	1	 ARSC2, arsC; arsenate reductase [EC:1.20.4.1]
K08968	1	 msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
K00018	1	 hprA; glycerate dehydrogenase [EC:1.1.1.29]
K02016	2	 ABC.FEV.S; iron complex transport system substrate-binding protein
K06886	2	 glbN; hemoglobin
K07315	1	 rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K02926	1	 RP-L4, MRPL4, rplD; large subunit ribosomal protein L4
K02906	1	 RP-L3, MRPL3, rplC; large subunit ribosomal protein L3
K02946	1	 RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10
K03635	1	 MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]
K03636	1	 moaD, cysO; sulfur-carrier protein
K03750	2	 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
K03753	1	 mobB; molybdopterin-guanine dinucleotide biosynthesis adapter protein
K03639	1	 moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]
K05772	1	 tupA, vupA; tungstate transport system substrate-binding protein
K17486	1	 dmdA; dimethylsulfoniopropionate demethylase [EC:2.1.1.269]
K01740	2	 metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
