KO	GeneNumber	Description
K00005	1	 gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00432	1	 gpx; glutathione peroxidase [EC:1.11.1.9]
K00392	1	 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00020	1	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00383	1	 GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00097	1	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
