KO	GeneNumber	Description
K00215	1	 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K03686	1	 dnaJ; molecular chaperone DnaJ
K04043	1	 dnaK, HSPA9; molecular chaperone DnaK
K03687	1	 GRPE; molecular chaperone GrpE
K03705	1	 hrcA; heat-inducible transcriptional repressor
K03631	1	 recN; DNA repair protein RecN (Recombination protein N)
K06186	1	 bamE, smpA; outer membrane protein assembly factor BamE
K03308	2	 TC.NSS; neurotransmitter:Na+ symporter, NSS family
K03664	1	 smpB; SsrA-binding protein
K03564	1	 BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]
K00957	2	 cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00955	2	 cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K22027	5	 iacA; indole-3-acetate monooxygenase [EC:1.14.13.235]
K05539	1	 dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-]
K02535	1	 lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K01885	1	 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
K01754	4	 E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]
K17760	2	 qheDH, qbdA; quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]
K00626	8	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K07136	4	 K07136; uncharacterized protein
K07319	2	 yhdJ; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K00526	2	 E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00525	2	 E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00864	2	 glpK, GK; glycerol kinase [EC:2.7.1.30]
K00249	5	 ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K07133	12	 K07133; uncharacterized protein
K17228	1	 sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35]
