KO	GeneNumber	Description
K01991	1	 ABC-2.OM, wza; polysaccharide biosynthesis/export protein
K01489	1	 cdd, CDA; cytidine deaminase [EC:3.5.4.5]
K02956	1	 RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15
K00962	1	 pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K09811	1	 ftsX; cell division transport system permease protein
K09812	1	 ftsE; cell division transport system ATP-binding protein
K03980	1	 murJ, mviN; putative peptidoglycan lipid II flippase
K00927	1	 PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
K03545	1	 tig; trigger factor
K19689	1	 ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]
K00946	1	 thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
K00954	1	 E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K01448	3	 amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K00278	1	 nadB; L-aspartate oxidase [EC:1.4.3.16]
K09698	1	 gltX; nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]
K01934	1	 MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
K00014	2	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K01955	1	 carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
K00548	1	 metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K03100	1	 lepB; signal peptidase I [EC:3.4.21.89]
K00756	1	 pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
K02115	1	 ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
K00145	2	 argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K02341	1	 holB; DNA polymerase III subunit delta' [EC:2.7.7.7]
K01945	2	 purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
K17758	1	 nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
K17759	1	 AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]
K01759	1	 GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]
K02863	1	 RP-L1, MRPL1, rplA; large subunit ribosomal protein L1
K02867	1	 RP-L11, MRPL11, rplK; large subunit ribosomal protein L11
K00767	1	 nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K00948	1	 PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K18979	1	 queG; epoxyqueuosine reductase [EC:1.17.99.6]
K02040	1	 pstS; phosphate transport system substrate-binding protein
K03797	2	 E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]
K00872	1	 thrB1; homoserine kinase [EC:2.7.1.39]
K01854	1	 glf; UDP-galactopyranose mutase [EC:5.4.99.9]
K07025	1	 K07025; putative hydrolase of the HAD superfamily
K07027	2	 K07027; glycosyltransferase 2 family protein
K01817	1	 trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
K02860	1	 rimM; 16S rRNA processing protein RimM
K02066	2	 mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein
K02405	2	 fliA; RNA polymerase sigma factor for flagellar operon FliA
K02068	1	 ABC.X2.A; putative ABC transport system ATP-binding protein
K02519	1	 infB, MTIF2; translation initiation factor IF-2
K02600	1	 nusA; N utilization substance protein A
K09763	1	 K09763; uncharacterized protein
K00957	1	 cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00956	1	 cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
K09458	3	 fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
K01609	1	 trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K00088	1	 IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K14205	2	 mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]
K06381	1	 spoIID; stage II sporulation protein D
K03584	1	 recO; DNA repair protein RecO (recombination protein O)
K01772	1	 hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
K00008	2	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K01749	1	 hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]
K09903	1	 pyrH; uridylate kinase [EC:2.7.4.22]
K03086	3	 rpoD; RNA polymerase primary sigma factor
K07106	1	 murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K10823	1	 oppF; oligopeptide transport system ATP-binding protein
K03569	1	 mreB; rod shape-determining protein MreB and related proteins
K03570	1	 mreC; rod shape-determining protein MreC
K09710	1	 ybeB; ribosome-associated protein
K01784	1	 galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]
K00789	1	 metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
K03270	2	 kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K01953	1	 asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
K01647	1	 CS, gltA; citrate synthase [EC:2.3.3.1]
K03308	1	 TC.NSS; neurotransmitter:Na+ symporter, NSS family
K09775	1	 K09775; uncharacterized protein
K13789	1	 GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K00648	1	 fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K03090	1	 sigB; RNA polymerase sigma-B factor
K01881	1	 PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]
K02221	1	 yggT; YggT family protein
K01000	1	 mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K06861	1	 lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
K02864	1	 RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10
K02935	1	 RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K03465	1	 thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]
K00611	1	 OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]
K02499	1	 yabN; tetrapyrrole methylase family protein / MazG family protein
K06881	1	 nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K09761	1	 rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K01875	1	 SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]
K11720	1	 lptG; lipopolysaccharide export system permease protein
K00765	1	 hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K02502	1	 hisZ; ATP phosphoribosyltransferase regulatory subunit
K00133	1	 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K22187	1	 xylA; alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]
K00823	1	 puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
K05576	1	 ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:1.6.5.3]
K00339	1	 nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]
K03495	1	 gidA, mnmG, MTO1; tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K01870	1	 IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
K01873	1	 VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]
K00991	1	 ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K04763	2	 xerD; integrase/recombinase XerD
