KO	GeneNumber	Description
K07042	2	 ybeY, yqfG; probable rRNA maturation factor
K06217	1	 phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins
K06168	1	 miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
K12057	1	 traF; conjugal transfer pilus assembly protein TraF
K00147	1	 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K07734	1	 paiB; transcriptional regulator
K01091	2	 gph; phosphoglycolate phosphatase [EC:3.1.3.18]
K00283	1	 gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K01768	1	 E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
K03651	1	 cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
K02200	2	 ccmH; cytochrome c-type biogenesis protein CcmH
K00020	1	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K01692	4	 paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]
K00329	1	 E1.6.5.3; NADH dehydrogenase [EC:1.6.5.3]
K00356	1	 E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]
K07340	1	 ybbJ; inner membrane protein
K01061	2	 E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
K17760	1	 qheDH, qbdA; quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]
K01433	1	 purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
K02371	1	 fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K08289	1	 purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
K00928	1	 lysC; aspartate kinase [EC:2.7.2.4]
K03525	1	 coaX; type III pantothenate kinase [EC:2.7.1.33]
K12574	1	 rnj; ribonuclease J [EC:3.1.-.-]
K01647	1	 CS, gltA; citrate synthase [EC:2.3.3.1]
K01885	2	 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
K07742	1	 ylxR; uncharacterized protein
K02600	1	 nusA; N utilization substance protein A
K00789	2	 metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
K03643	2	 lptE, rlpB; LPS-assembly lipoprotein
K01869	2	 LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]
K01652	4	 E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
K00791	1	 miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]
K01079	1	 serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]
K18586	2	 COQ4; ubiquinone biosynthesis protein COQ4
K01952	3	 purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
K03602	1	 xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
K00795	1	 ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00954	1	 E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K01933	1	 purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
K00640	1	 cysE; serine O-acetyltransferase [EC:2.3.1.30]
K04042	1	 glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
K01322	2	 PREP; prolyl oligopeptidase [EC:3.4.21.26]
K00626	7	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K02066	1	 mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein
K02065	1	 mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K02067	2	 mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K18480	1	 linN; cholesterol transport system auxiliary component
K05973	2	 phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
K00857	1	 tdk, TK; thymidine kinase [EC:2.7.1.21]
K03177	1	 truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]
K02956	1	 RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15
K00962	1	 pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K09983	1	 K09983; uncharacterized protein
K13583	1	 gcrA; GcrA cell cycle regulator
K01992	5	 ABC-2.P; ABC-2 type transport system permease protein
K11940	1	 hspQ; heat shock protein HspQ
K12508	1	 fcs; feruloyl-CoA synthase [EC:6.2.1.34]
K00459	3	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K21672	1	 ord; 2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]
K11159	1	 K11159; carotenoid cleavage dioxygenase
K10533	1	 E3.3.2.8; limonene-1,2-epoxide hydrolase [EC:3.3.2.8]
K02014	9	 TC.FEV.OM; iron complex outermembrane recepter protein
K09457	1	 queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K01011	1	 TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
K01760	1	 metC; cystathionine beta-lyase [EC:4.4.1.8]
K02303	1	 cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K01255	3	 CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]
K02339	2	 holC; DNA polymerase III subunit chi [EC:2.7.7.7]
K01738	3	 cysK; cysteine synthase [EC:2.5.1.47]
K01496	1	 hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K01006	1	 ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K03685	1	 rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]
K03595	1	 era, ERAL1; GTPase
K03798	1	 ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]
K03060	1	 rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K07516	1	 fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K01644	2	 citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
K01082	1	 cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]
K12511	1	 tadC; tight adherence protein C
K12510	1	 tadB; tight adherence protein B
K02282	1	 cpaE, tadZ; pilus assembly protein CpaE
K02281	1	 cpaD; pilus assembly protein CpaD
K02280	1	 cpaC, rcpA; pilus assembly protein CpaC
K02279	1	 cpaB, rcpC; pilus assembly protein CpaB
K02278	1	 cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]
K01048	1	 pldB; lysophospholipase [EC:3.1.1.5]
K19746	2	 dauA; D-arginine dehydrogenase [EC:1.4.99.6]
K09946	1	 K09946; uncharacterized protein
K03469	1	 rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]
K02204	1	 thrB2; homoserine kinase type II [EC:2.7.1.39]
K03527	1	 ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
K09015	1	 sufD; Fe-S cluster assembly protein SufD
K11717	1	 sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
K01791	1	 wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K06134	1	 COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K03797	3	 E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]
K00783	2	 rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K09710	1	 ybeB; ribosome-associated protein
K00969	1	 nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K03782	1	 katG; catalase-peroxidase [EC:1.11.1.21]
K03781	1	 katE, CAT, catB, srpA; catalase [EC:1.11.1.6]
K08304	1	 mltA; membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
K03071	1	 secB; preprotein translocase subunit SecB
K03980	1	 murJ, mviN; putative peptidoglycan lipid II flippase
K02429	1	 fucP; MFS transporter, FHS family, L-fucose permease
K14441	1	 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
K10716	2	 kch, trkA, mthK, pch; voltage-gated potassium channel
K03497	4	 parB, spo0J; chromosome partitioning protein, ParB family
K03496	4	 parA, soj; chromosome partitioning protein
K06878	1	 K06878; tRNA-binding protein
K06915	3	 K06915; uncharacterized protein
K07116	1	 pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]
K00140	1	 mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K02335	1	 polA; DNA polymerase I [EC:2.7.7.7]
K03575	1	 mutY; A/G-specific adenine glycosylase [EC:3.2.2.31]
K03529	1	 smc; chromosome segregation protein
K04764	1	 ihfA, himA; integration host factor subunit alpha
K01754	2	 E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]
K13622	1	 btaA; S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase
K13623	1	 btaB; S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
K16171	1	 faaH; fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
K00252	1	 GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K05366	4	 mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
K07305	2	 msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
K02968	1	 RP-S20, rpsT; small subunit ribosomal protein S20
K02313	1	 dnaA; chromosomal replication initiator protein
K21029	1	 moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]
K12410	1	 npdA; NAD-dependent deacetylase [EC:3.5.1.-]
K00215	1	 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K10773	2	 NTH; endonuclease III [EC:4.2.99.18]
K01892	1	 HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]
K01939	1	 purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]
K03088	10	 rpoE; RNA polymerase sigma-70 factor, ECF subfamily
K02302	1	 cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
K01586	2	 lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
K01755	1	 argH, ASL; argininosuccinate lyase [EC:4.3.2.1]
K01424	1	 E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]
K06173	1	 truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
K07126	2	 K07126; uncharacterized protein
K02483	4	 K02483; two-component system, OmpR family, response regulator
K07461	4	 K07461; putative endonuclease
K03703	1	 uvrC; excinuclease ABC subunit C
K01118	2	 acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]
K03743	2	 pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
K04066	1	 priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]
K03551	1	 ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]
K00472	3	 P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
K01681	1	 ACO, acnA; aconitate hydratase [EC:4.2.1.3]
