KO	GeneNumber	Description
K00018	1	 hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00015	2	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00020	5	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00568	2	 ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00413	1	 CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00411	1	 UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00208	1	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00383	1	 GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00311	1	 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00023	1	 phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
