KO	GeneNumber	Description
K01847	1	 MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
K01652	3	 E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
K04079	1	 HSP90A, htpG; molecular chaperone HtpG
K01689	2	 ENO, eno; enolase [EC:4.2.1.11]
K01627	1	 kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K01937	1	 pyrG, CTPS; CTP synthase [EC:6.3.4.2]
K03075	1	 secG; preprotein translocase subunit SecG
K01803	1	 TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]
K01897	2	 ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]
K03296	1	 TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family
K01649	2	 leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]
K01890	1	 FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
K09004	2	 K09004; uncharacterized protein
K07098	1	 K07098; uncharacterized protein
K01070	1	 frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]
K00121	1	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K03455	1	 TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family
K02426	1	 sufE; cysteine desulfuration protein SufE
K11924	1	 mntR; DtxR family transcriptional regulator, manganese transport regulator
K09948	1	 K09948; uncharacterized protein
K01591	1	 pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
K00459	1	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00315	6	 DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K14083	7	 mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
K09964	1	 K09964; uncharacterized protein
K09862	1	 K09862; uncharacterized protein
K06287	2	 maf; septum formation protein
K02518	1	 infA; translation initiation factor IF-1
K00765	1	 hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K00790	1	 murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K07462	1	 recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00574	2	 cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
K15461	1	 mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
K00764	1	 purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]
K03558	1	 cvpA; membrane protein required for colicin V production
K07112	2	 K07112; uncharacterized protein
K11688	1	 dctP; C4-dicarboxylate-binding protein DctP
K11689	1	 dctQ; C4-dicarboxylate transporter, DctQ subunit
K07708	2	 glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]
K06204	1	 dksA; DnaK suppressor protein
K13584	1	 ctrA; two-component system, cell cycle response regulator CtrA
K00122	1	 FDH; formate dehydrogenase [EC:1.17.1.9]
K00123	1	 fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
K00643	1	 E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]
K01772	1	 hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
K00020	3	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K06134	1	 COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K07304	1	 msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K03320	2	 amt, AMT, MEP; ammonium transporter, Amt family
K04752	2	 glnK; nitrogen regulatory protein P-II 2
K18979	1	 queG; epoxyqueuosine reductase [EC:1.17.99.6]
K00773	1	 tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K07568	1	 queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K06041	1	 kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]
K03569	1	 mreB; rod shape-determining protein MreB and related proteins
K00053	1	 ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K17213	2	 K17213; inositol transport system substrate-binding protein
K17214	2	 K17214; inositol transport system permease protein
K10554	1	 frcA; fructose transport system ATP-binding protein
K01187	1	 malZ; alpha-glucosidase [EC:3.2.1.20]
K10111	2	 malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:3.6.3.-]
K07552	1	 bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein
K00128	2	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K06980	1	 ygfZ; tRNA-modifying protein YgfZ
K00019	1	 E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K09987	1	 K09987; uncharacterized protein
K01908	1	 prpE; propionyl-CoA synthetase [EC:6.2.1.17]
K01588	1	 purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
K01589	1	 purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
K00651	1	 metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K18587	1	 COQ9; ubiquinone biosynthesis protein COQ9
K02970	1	 RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21
K00324	1	 pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
K00325	1	 pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
K08602	1	 pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]
K01915	3	 glnA, GLUL; glutamine synthetase [EC:6.3.1.2]
K12256	1	 spuC; putrescine---pyruvate transaminase [EC:2.6.1.113]
K12506	1	 ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
K01992	1	 ABC-2.P; ABC-2 type transport system permease protein
K01990	1	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K01821	1	 praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]
K00766	1	 trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K01609	1	 trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K03637	1	 moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]
K03750	2	 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
K01356	1	 lexA; repressor LexA [EC:3.4.21.88]
K04043	1	 dnaK, HSPA9; molecular chaperone DnaK
K03687	1	 GRPE; molecular chaperone GrpE
K00989	1	 rph; ribonuclease PH [EC:2.7.7.56]
K02428	1	 rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K07056	1	 rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K07460	1	 yraN; putative endonuclease
K01920	1	 gshB; glutathione synthase [EC:6.3.2.3]
K07391	1	 comM; magnesium chelatase family protein
K01523	1	 hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
K02500	1	 hisF; cyclase [EC:4.1.3.-]
K01814	1	 hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
K02501	1	 hisH; glutamine amidotransferase [EC:2.4.2.-]
K01693	1	 hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
K07113	1	 fxsA; UPF0716 protein FxsA
K03071	1	 secB; preprotein translocase subunit SecB
K02342	1	 dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
K00859	1	 coaE; dephospho-CoA kinase [EC:2.7.1.24]
K09773	1	 ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]
K01599	1	 hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]
K08973	1	 K08973; putative membrane protein
K02335	1	 polA; DNA polymerase I [EC:2.7.7.7]
K14981	1	 chvI; two-component system, OmpR family, response regulator ChvI
K14980	1	 chvG; two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]
K06958	1	 rapZ; RNase adapter protein RapZ
K01251	1	 E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]
K06925	1	 tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K16899	1	addB; ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]
K01092	1	 E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K02557	1	 motB; chemotaxis protein MotB
K06147	2	 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
K02909	1	 RP-L31, rpmE; large subunit ribosomal protein L31
K04080	1	 ibpA; molecular chaperone IbpA
K01006	1	 ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K01879	1	 glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
K01878	1	 glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
K00145	1	 argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K03179	1	 ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K09761	1	 rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K01919	1	 gshA; glutamate--cysteine ligase [EC:6.3.2.2]
K03568	1	 tldD; TldD protein
K01247	1	 alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K07566	1	 tsaC, rimN, SUA5; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K04744	2	 lptD, imp, ostA; LPS-assembly protein
K03823	1	 pat; phosphinothricin acetyltransferase [EC:2.3.1.183]
K03560	1	 tolR; biopolymer transport protein TolR
K03562	1	 tolQ; biopolymer transport protein TolQ
K07107	1	 ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
K03551	1	 ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]
K03550	1	 ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]
