KO	GeneNumber	Description
K00320	1	 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00018	1	 hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00020	3	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00027	1	 ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00065	2	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00023	1	 phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00341	1	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00015	1	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
