KO	GeneNumber	Description
K01092	2	 E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K03287	1	 TC.OMF; outer membrane factor, OMF family
K06153	1	 bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
K02095	1	 apcD; allophycocyanin-B
K03215	1	 rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
K01890	1	 FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
K02913	1	 RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33
K02963	1	 RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18
K01147	1	 rnb; exoribonuclease II [EC:3.1.13.1]
K01874	1	 MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]
K07738	1	 nrdR; transcriptional repressor NrdR
K02718	1	 psbT; photosystem II PsbT protein
K02704	1	 psbB; photosystem II CP47 chlorophyll apoprotein
K02714	1	 psbM; photosystem II PsbM protein
K07107	1	 ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
K04096	1	 smf; DNA processing protein
K02493	1	 hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]
K07566	1	 tsaC, rimN, SUA5; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K03608	1	 minE; cell division topological specificity factor
K03609	1	 minD; septum site-determining protein MinD
K03610	1	 minC; septum site-determining protein MinC
K06885	1	 K06885; uncharacterized protein
K03797	2	 E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]
K02635	1	 petB; cytochrome b6
K02637	1	 petD; cytochrome b6-f complex subunit 4
K09880	1	 mtnC, ENOPH1; enolase-phosphatase E1 [EC:3.1.3.77]
K08964	2	 mtnB; methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
K08963	1	 mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K10563	1	 mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
K02693	1	 psaE; photosystem I subunit IV
K03654	1	 recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
K00128	1	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00524	1	 nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]
K02837	1	 prfC; peptide chain release factor 3
K04083	1	 hslO; molecular chaperone Hsp33
K16787	1	 ecfA2; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K09761	1	 rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K03090	2	 sigB; RNA polymerase sigma-B factor
K02042	1	 phnE; phosphonate transport system permease protein
K02041	1	 phnC; phosphonate transport system ATP-binding protein [EC:3.6.3.28]
K02044	1	 phnD; phosphonate transport system substrate-binding protein
K00812	1	 aspB; aspartate aminotransferase [EC:2.6.1.1]
K21929	1	 udg; uracil-DNA glycosylase [EC:3.2.2.27]
K03526	1	 gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
K03723	1	 mfd; transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]
K02286	1	 cpcC; phycocyanin-associated rod linker protein
K06966	2	 ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
K07175	1	 phoH2; PhoH-like ATPase
K02563	1	 murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K02535	1	 lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02372	1	 fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K00677	1	 lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00748	1	 lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
K07304	2	 msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K01255	1	 CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]
K01866	1	 YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]
K01591	1	 pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
K08591	2	 plsY; glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15]
K02066	1	 mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein
K03292	1	 TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family
K01214	1	 ISA, treX; isoamylase [EC:3.2.1.68]
K03530	1	 hupB; DNA-binding protein HU-beta
K01885	2	 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
K00240	1	 sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
K00239	1	 sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
K06158	1	 ABCF3; ATP-binding cassette, subfamily F, member 3
K09001	1	 anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
K03499	1	 trkA, ktrA; trk system potassium uptake protein
K03665	1	 hflX; GTPase
K03885	2	 ndh; NADH dehydrogenase [EC:1.6.99.3]
K00390	1	 cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K03525	1	 coaX; type III pantothenate kinase [EC:2.7.1.33]
K03564	3	 BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]
K03555	1	 mutS; DNA mismatch repair protein MutS
K00794	1	 ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
K02724	1	 psbZ; photosystem II PsbZ protein
K04075	1	 tilS, mesJ; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
K06042	1	 cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]
K02340	1	 holA; DNA polymerase III subunit delta [EC:2.7.7.7]
K00928	1	 lysC; aspartate kinase [EC:2.7.2.4]
K12574	1	 rnj; ribonuclease J [EC:3.1.-.-]
K01714	1	 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K00133	1	 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K03545	1	 tig; trigger factor
K01358	4	 clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
K03544	1	 clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX
K02343	1	 dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K00688	1	 PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]
K11472	1	 glcE; glycolate oxidase FAD binding subunit
K11473	1	 glcF; glycolate oxidase iron-sulfur subunit
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K01243	1	 mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K00876	1	 udk, UCK; uridine kinase [EC:2.7.1.48]
K04565	1	 SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
K01437	1	 ASPA, aspA; aspartoacylase [EC:3.5.1.15]
K07393	1	 ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]
K15738	1	 uup; ABC transport system ATP-binding/permease protein
K03979	1	 obgE, cgtA; GTPase [EC:3.6.5.-]
K10112	1	 msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein
K07456	1	 mutS2; DNA mismatch repair protein MutS2
K01698	1	 hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]
K05516	1	 cbpA; curved DNA-binding protein
K03321	3	 TC.SULP; sulfate permease, SulP family
K06169	1	 miaE; tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]
K03786	1	 aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]
K01208	1	 cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]
K00864	1	 glpK, GK; glycerol kinase [EC:2.7.1.30]
K01867	1	 WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]
K01868	1	 TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]
K00845	2	 glk; glucokinase [EC:2.7.1.2]
K00872	1	 thrB1; homoserine kinase [EC:2.7.1.39]
K05575	3	 ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:1.6.5.3]
K01414	1	 prlC; oligopeptidase A [EC:3.4.24.70]
K01633	1	 folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]
K00147	1	 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K01952	3	 purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
K01297	2	 ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
K01624	1	 FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01963	1	 accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
K02654	1	 pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K00855	1	 PRK, prkB; phosphoribulokinase [EC:2.7.1.19]
K00052	1	 leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K02536	1	 lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
K00931	1	 proB; glutamate 5-kinase [EC:2.7.2.11]
K07015	1	 K07015; uncharacterized protein
K07447	1	 ruvX; putative holliday junction resolvase [EC:3.1.-.-]
K03711	3	 fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator
K01814	1	 hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
K00995	1	 pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
K02639	5	 petF; ferredoxin
K05582	1	 ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:1.6.5.3]
K05581	1	 ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:1.6.5.3]
K02065	1	 mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K02067	1	 mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K03404	1	 chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]
K00254	1	 DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
K03469	1	 rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]
K02935	1	 RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K02864	1	 RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10
