KO	GeneNumber	Description
K01579	1	 panD; aspartate 1-decarboxylase [EC:4.1.1.11]
K01918	1	 panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
K00606	1	 panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K19157	1	 yafQ; mRNA interferase YafQ [EC:3.1.-.-]
K02528	1	 ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K01409	1	 KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
K06204	1	 dksA; DnaK suppressor protein
K03641	1	 tolB; TolB protein
K03646	1	 tolA; colicin import membrane protein
K03560	1	 tolR; biopolymer transport protein TolR
K03562	1	 tolQ; biopolymer transport protein TolQ
K01255	1	 CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]
K03089	1	 rpoH; RNA polymerase sigma-32 factor
K09005	1	 K09005; uncharacterized protein
K06999	1	 K06999; phospholipase/carboxylesterase
K11085	1	 msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
K00951	1	 relA; GTP pyrophosphokinase [EC:2.7.6.5]
K00571	17	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K09777	1	 K09777; uncharacterized protein
K03272	1	 gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
K02843	1	 waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]
K02841	1	 waaC, rfaC; heptosyltransferase I [EC:2.4.-.-]
K07091	2	 lptF; lipopolysaccharide export system permease protein
K02014	11	 TC.FEV.OM; iron complex outermembrane recepter protein
K00912	1	 lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K02527	1	 kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K00748	1	 lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
