KO	GeneNumber	Description
K00208	1	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00457	2	 HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00097	1	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00128	2	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00560	1	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00287	1	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00392	1	 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00003	2	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
