KO	GeneNumber	Description
K00483	6	 hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00091	1	 E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00320	2	 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00065	5	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00020	3	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00341	2	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00208	1	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00015	2	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00024	2	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00571	6	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
K00558	5	 DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00459	1	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00021	1	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
