KO	GeneNumber	Description
K00477	5	 PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K00010	4	 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00128	1	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00097	1	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00008	5	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	5	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00341	2	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00320	1	 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00021	1	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00392	1	 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00091	1	 E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00020	1	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00005	1	 gldA; glycerol dehydrogenase [EC:1.1.1.6]
