KO	GeneNumber	Description
K03555	1	 mutS; DNA mismatch repair protein MutS
K01134	4	 ARSA; arylsulfatase A [EC:3.1.6.8]
K01990	17	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K01992	9	 ABC-2.P; ABC-2 type transport system permease protein
K07313	2	 pphA; serine/threonine protein phosphatase 1 [EC:3.1.3.16]
K03086	5	 rpoD; RNA polymerase primary sigma factor
K00982	1	 glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
K02277	1	 coxD, ctaF; cytochrome c oxidase subunit IV [EC:1.9.3.1]
K02276	2	 coxC, ctaE; cytochrome c oxidase subunit III [EC:1.9.3.1]
K02274	1	 coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]
K02275	2	 coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]
K07152	2	 SCO1_2; protein SCO1/2
K00185	1	 K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K00184	1	 K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00950	1	 folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K14445	1	 SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5
K03149	1	 thiG; thiazole synthase [EC:2.8.1.10]
K03154	1	 thiS; sulfur carrier protein
K06045	3	 shc; squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]
K01825	1	 fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
K00973	2	 E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
K00145	1	 argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K07052	1	 K07052; uncharacterized protein
K07221	1	 oprO_P; phosphate-selective porin OprO and OprP
K05520	3	 pfpI; protease I [EC:3.5.1.124]
K04752	1	 glnK; nitrogen regulatory protein P-II 2
K03320	4	 amt, AMT, MEP; ammonium transporter, Amt family
K03110	1	 ftsY; fused signal recognition particle receptor
K06169	1	 miaE; tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]
K03544	1	 clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX
K09458	4	 fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
K02078	1	 acpP; acyl carrier protein
K00059	3	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00645	1	 fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K03856	2	 AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K01868	1	 TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]
K02834	1	 rbfA; ribosome-binding factor A
K02519	1	 infB, MTIF2; translation initiation factor IF-2
K02600	1	 nusA; N utilization substance protein A
