KO	GeneNumber	Description
K00027	4	 ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00571	1	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00031	1	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00014	2	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00033	2	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00065	1	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00432	1	 gpx; glutathione peroxidase [EC:1.11.1.9]
K00560	3	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00287	1	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00128	3	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00010	1	 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00019	1	 E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00013	1	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00459	1	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00020	1	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00208	1	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00231	1	 PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00016	1	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00009	1	 mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00005	1	 gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00008	1	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
