KO	GeneNumber	Description
K02427	1	 rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]
K03798	1	 ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]
K00796	1	 folP; dihydropteroate synthase [EC:2.5.1.15]
K03431	1	 glmM; phosphoglucosamine mutase [EC:5.4.2.10]
K01803	1	 TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]
K03075	1	 secG; preprotein translocase subunit SecG
K01491	1	 folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K00297	1	 metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K00548	2	 metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K02343	1	 dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K09747	1	 K09747; uncharacterized protein
K06187	1	 recR; recombination protein RecR
K15371	1	 GDH2; glutamate dehydrogenase [EC:1.4.1.2]
K01907	1	 AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]
K05524	1	 fdxA; ferredoxin
K00381	1	 cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
K02302	1	 cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
K04755	1	 fdx; ferredoxin, 2Fe-2S
K00600	1	 glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
K00303	1	 soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
K00302	2	 soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]
K00305	1	 soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]
K00058	1	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00831	2	 serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]
K01938	1	 fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]
K01714	4	 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K01069	1	 gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K01760	1	 metC; cystathionine beta-lyase [EC:4.4.1.8]
K01515	1	 nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]
K02433	2	 gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K01876	1	 aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
K01159	1	 ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
K03550	1	 ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]
K03551	1	 ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]
K06878	1	 K06878; tRNA-binding protein
K20074	1	 prpC, phpP; PPM family protein phosphatase [EC:3.1.3.16]
K01996	7	 livF; branched-chain amino acid transport system ATP-binding protein
K01995	7	 livG; branched-chain amino acid transport system ATP-binding protein
K01998	6	 livM; branched-chain amino acid transport system permease protein
K01997	5	 livH; branched-chain amino acid transport system permease protein
K07010	1	 K07010; putative glutamine amidotransferase
K00108	2	 betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K01687	1	 ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
K06445	1	 fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]
K01897	2	 ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]
K09695	1	 nodI; lipooligosaccharide transport system ATP-binding protein
K09694	1	 nodJ; lipooligosaccharide transport system permease protein
K06206	1	 sfsA; sugar fermentation stimulation protein A
K05800	1	 ybaO; Lrp/AsnC family transcriptional regulator
K00942	1	 E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]
K00989	1	 rph; ribonuclease PH [EC:2.7.7.56]
K02428	1	 rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K01759	2	 GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]
K00761	1	 upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]
K10804	1	 tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]
K02003	2	 ABC.CD.A; putative ABC transport system ATP-binding protein
K02004	1	 ABC.CD.P; putative ABC transport system permease protein
K21071	1	 pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
K00939	1	 adk, AK; adenylate kinase [EC:2.7.4.3]
K01698	1	 hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]
K03183	1	 ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
K03690	1	 ubiJ; ubiquinone biosynthesis protein UbiJ
K03688	1	 ubiB, aarF; ubiquinone biosynthesis protein
K21309	1	 soeC; sulfite dehydrogenase (quinone) subunit SoeC
K15977	2	 K15977; putative oxidoreductase
K07304	1	 msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K06024	1	 scpB; segregation and condensation protein B
K05896	1	 scpA; segregation and condensation protein A
K01867	1	 WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]
K00950	1	 folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00970	1	 pcnB; poly(A) polymerase [EC:2.7.7.19]
K04763	1	 xerD; integrase/recombinase XerD
K03820	1	 lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]
K06189	1	 corC; magnesium and cobalt transporter
K07042	1	 ybeY, yqfG; probable rRNA maturation factor
K06217	1	 phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins
K06168	1	 miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
K01999	4	 livK; branched-chain amino acid transport system substrate-binding protein
K03169	2	 topB; DNA topoisomerase III [EC:5.99.1.2]
K14083	5	 mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
K00571	20	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K07161	1	 K07161; uncharacterized protein
K07402	2	 xdhC; xanthine dehydrogenase accessory factor
K07141	1	 mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
K15552	1	 tauC; taurine transport system permease protein
K10831	1	 tauB; taurine transport system ATP-binding protein [EC:3.6.3.36]
K15551	1	 tauA; taurine transport system substrate-binding protein
K02523	1	 ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
K02888	1	 RP-L21, MRPL21, rplU; large subunit ribosomal protein L21
K02899	1	 RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27
K03979	1	 obgE, cgtA; GTPase [EC:3.6.5.-]
K00931	1	 proB; glutamate 5-kinase [EC:2.7.2.11]
K03544	1	 clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX
K01338	1	 lon; ATP-dependent Lon protease [EC:3.4.21.53]
K03530	1	 hupB; DNA-binding protein HU-beta
K07232	1	 CHAC, chaC; glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
