KO	GeneNumber	Description
K00023	1	 phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00014	1	 aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	1	 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00208	3	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00029	2	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00457	2	 HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
K00020	5	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00013	2	 hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00065	1	 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00311	1	 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00128	7	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00010	3	 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00568	1	 ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00057	1	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00019	1	 E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00537	1	 ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
K00560	1	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00031	2	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00003	1	 E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00287	1	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00097	2	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00383	1	 GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
K00459	1	 ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K00035	1	 gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00411	1	 UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00341	1	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00008	1	 SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
