KO	GeneNumber	Description
K04487	2	 iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]
K01915	2	 glnA, GLUL; glutamine synthetase [EC:6.3.1.2]
K05802	1	 mscK, kefA, aefA; potassium-dependent mechanosensitive channel
K00948	1	 PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K03320	1	 amt, AMT, MEP; ammonium transporter, Amt family
K15634	1	 gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
K06988	1	 fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
K02049	1	 ABC.SN.A; NitT/TauT family transport system ATP-binding protein
K02050	1	 ABC.SN.P; NitT/TauT family transport system permease protein
K00548	2	 metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K07143	1	 K07143; UPF0148 protein
K03529	1	 smc; chromosome segregation protein
K00858	2	 ppnK, NADK; NAD+ kinase [EC:2.7.1.23]
K01937	1	 pyrG, CTPS; CTP synthase [EC:6.3.4.2]
K09140	1	 TSR3; pre-rRNA-processing protein TSR3
K02869	1	 RP-L12, rpl12; large subunit ribosomal protein L12
K13953	2	 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
K05896	1	 scpA; segregation and condensation protein A
K06024	1	 scpB; segregation and condensation protein B
K02124	1	 ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K
K00610	1	 pyrI; aspartate carbamoyltransferase regulatory subunit
K00609	1	 pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
K14166	1	 ycnJ; copper transport protein
K06922	1	 K06922; uncharacterized protein
K07043	1	 K07043; uncharacterized protein
K03432	2	 psmA, prcA; proteasome alpha subunit [EC:3.4.25.1]
K03183	1	 ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
K19576	1	 norA; MFS transporter, DHA1 family, quinolone resistance protein
K03116	2	 tatA; sec-independent protein translocase protein TatA
K00571	5	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K17758	1	 nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
K17759	2	 AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]
K07442	1	 TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]
K02434	1	 gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
K01999	3	 livK; branched-chain amino acid transport system substrate-binding protein
K01996	1	 livF; branched-chain amino acid transport system ATP-binding protein
K01995	1	 livG; branched-chain amino acid transport system ATP-binding protein
K01997	1	 livH; branched-chain amino acid transport system permease protein
K01998	1	 livM; branched-chain amino acid transport system permease protein
K00793	1	 ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
K06072	1	 DOHH; deoxyhypusine monooxygenase [EC:1.14.99.29]
K03546	1	 sbcC, rad50; DNA repair protein SbcC/Rad50
K14170	1	 pheA; chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]
K10726	1	 mcm, cdc21; replicative DNA helicase Mcm [EC:3.6.4.-]
K09723	2	 ginS; DNA replication factor GINS
K04801	1	 rfcS; replication factor C small subunit
K03264	1	 EIF6; translation initiation factor 6
K01892	1	 HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]
K03652	1	 MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]
K21929	1	 udg; uracil-DNA glycosylase [EC:3.2.2.27]
K01870	1	 IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
K01903	1	 sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
K01902	1	 sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01883	1	 CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]
K01916	1	 nadE; NAD+ synthase [EC:6.3.1.5]
K17830	1	 GGR; digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
K06877	5	 K06877; DEAD/DEAH box helicase domain-containing protein
K01156	1	 res; type III restriction enzyme [EC:3.1.21.5]
K01733	2	 thrC; threonine synthase [EC:4.2.3.1]
K00059	1	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K04488	1	 iscU, nifU; nitrogen fixation protein NifU and related proteins
K11717	2	 sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
K05710	1	 hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
K09015	1	 sufD; Fe-S cluster assembly protein SufD
K09014	1	 sufB; Fe-S cluster assembly protein SufB
K01719	1	 hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]
K02303	1	 cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K01749	1	 hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]
K01845	2	 hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
K00096	1	 araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K03433	2	 psmB, prcB; proteasome beta subunit [EC:3.4.25.1]
K07041	1	 K07041; uncharacterized protein
K09152	1	 K09152; uncharacterized protein
K13038	1	 coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
K00606	1	 panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K09722	1	 K09722, pps; 4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]
K06982	1	 pok; pantoate kinase [EC:2.7.1.169]
K06863	2	 purP; 5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]
K01876	2	 aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
K02435	1	 gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
K02433	1	 gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K00826	2	 E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]
K09816	1	 znuB; zinc transport system permease protein
K15916	1	 pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K08963	1	 mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K13525	2	 VCP, CDC48; transitional endoplasmic reticulum ATPase
K02886	1	 RP-L2, MRPL2, rplB; large subunit ribosomal protein L2
K03726	4	 helS; helicase [EC:3.6.4.-]
K01807	1	 rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
K01464	1	 DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]
K04043	1	 dnaK, HSPA9; molecular chaperone DnaK
K03687	1	 GRPE; molecular chaperone GrpE
K09726	1	 K09726; uncharacterized protein
K02952	1	 RP-S13, rpsM; small subunit ribosomal protein S13
K02986	1	 RP-S4, rpsD; small subunit ribosomal protein S4
K00820	1	 glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
K06223	2	 dam; DNA adenine methylase [EC:2.1.1.72]
K02036	1	 pstB; phosphate transport system ATP-binding protein [EC:3.6.3.27]
K02038	1	 pstA; phosphate transport system permease protein
K02037	1	 pstC; phosphate transport system permease protein
K02040	1	 pstS; phosphate transport system substrate-binding protein
K20276	2	 bapA; large repetitive protein
K01992	1	 ABC-2.P; ABC-2 type transport system permease protein
K01990	1	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K06875	1	 PDCD5, TFAR19; programmed cell death protein 5
K02966	1	 RP-S19e, RPS19; small subunit ribosomal protein S19e
K03540	1	 RPR2, RPP21; ribonuclease P protein subunit RPR2 [EC:3.1.26.5]
K00525	1	 E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K21636	1	 nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K15736	1	 lhgO; L-2-hydroxyglutarate oxidase [EC:1.1.3.-]
K07577	2	 K07577; putative mRNA 3-end processing factor
K11175	1	 purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
K03703	1	 uvrC; excinuclease ABC subunit C
K03701	1	 uvrA; excinuclease ABC subunit A
K03702	1	 uvrB; excinuclease ABC subunit B
K07005	1	 K07005; uncharacterized protein
K14728	1	 K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]
K18602	1	 K18602; malonic semialdehyde reductase [EC:1.1.1.-]
K11529	1	 gck, gckA, GLYCTK; glycerate 2-kinase [EC:2.7.1.165]
K06174	1	 ABCE1, Rli1; ATP-binding cassette, sub-family E, member 1
K15429	1	 TRM5, TRMT5; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
K03789	1	 rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
K01875	1	 SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]
K07463	2	 K07463; archaea-specific RecJ-like exonuclease
K02956	1	 RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15
K03768	1	 PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
K01866	1	 YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]
K05934	1	 E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]
K04748	1	 norQ; nitric oxide reductase NorQ protein
K00860	1	 cysC; adenylylsulfate kinase [EC:2.7.1.25]
K01082	1	 cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]
K00412	1	 CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit
K09388	1	 K09388; uncharacterized protein
K07316	1	 mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K02548	1	 menA; 1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]
K07466	2	 RFA1, RPA1, rpa; replication factor A1
K03455	1	 TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family
K00928	2	 lysC; aspartate kinase [EC:2.7.2.4]
K02503	2	 HINT1, hinT, hit; histidine triad (HIT) family protein
K03265	1	 ETF1, ERF1; peptide chain release factor subunit 1
K06196	2	 ccdA; cytochrome c-type biogenesis protein
K03469	1	 rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]
K06965	1	 PELO, DOM34, pelA; protein pelota
K03926	1	 cutA; periplasmic divalent cation tolerance protein
K01512	1	 acyP; acylphosphatase [EC:3.6.1.7]
K03626	1	 EGD2, NACA; nascent polypeptide-associated complex subunit alpha
K07398	1	 K07398; conserved protein with predicted RNA binding PUA domain
K13628	1	 iscA; iron-sulfur cluster assembly protein
K02316	1	 dnaG; DNA primase [EC:2.7.7.-]
K07732	1	 rfk; riboflavin kinase, archaea type [EC:2.7.1.161]
K00980	1	 tagD; glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]
K20215	1	 dph5; diphthine synthase [EC:2.1.1.98]
K05831	1	 lysK, argE; LysW-gamma-L-lysine/LysW-L-ornithine carboxypeptidase
K05827	2	 lysX; [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]
K05826	2	 lysW; alpha-aminoadipate/glutamate carrier protein LysW
K01649	2	 leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]
K05830	1	 lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]
K05828	1	 lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]
K05829	1	 lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]
K01940	1	 argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]
K07561	1	 DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]
K06915	1	 K06915; uncharacterized protein
K03547	2	 sbcD, mre11; DNA repair protein SbcD/Mre11
K07497	3	 K07497; putative transposase
K02866	1	 RP-L10e, RPL10; large subunit ribosomal protein L10e
K01170	2	 endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]
K07458	1	 vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]
K02921	1	 RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae
K12589	1	 RRP42, EXOSC7; exosome complex component RRP42
K11600	1	 RRP41, EXOSC4, SKI6; exosome complex component RRP41
K03679	1	 RRP4, EXOSC2; exosome complex component RRP4
