KO	GeneNumber	Description
K07114	7	 yfbK; Ca-activated chloride channel homolog
K01295	1	 cpg; glutamate carboxypeptidase [EC:3.4.17.11]
K03924	14	 moxR; MoxR-like ATPase [EC:3.6.3.-]
K03088	13	 rpoE; RNA polymerase sigma-70 factor, ECF subfamily
K08963	1	 mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K20616	1	 lyeJ; lycopene elongase/1,2-hydratase
K06045	3	 shc; squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]
K01273	2	 DPEP; membrane dipeptidase [EC:3.4.13.19]
K09005	1	 K09005; uncharacterized protein
K12510	2	 tadB; tight adherence protein B
K02283	2	 cpaF, tadA; pilus assembly protein CpaF
K00286	1	 proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K02935	1	 RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K02864	1	 RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10
K02863	1	 RP-L1, MRPL1, rplA; large subunit ribosomal protein L1
K01759	1	 GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]
K01129	1	 dgt; dGTPase [EC:3.1.5.1]
K03701	6	 uvrA; excinuclease ABC subunit A
K02372	5	 fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K09458	4	 fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
K01698	1	 hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]
K00703	1	 glgA; starch synthase [EC:2.4.1.21]	Glc a1-4 Glc
K00965	1	 galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
K10206	1	 E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]
K13542	1	 cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]
K15012	1	 regA, regR, actR; two-component system, response regulator RegA
K15011	1	 regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
K15034	1	 yaeJ; ribosome-associated protein
K02004	7	 ABC.CD.P; putative ABC transport system permease protein
K07042	1	 ybeY, yqfG; probable rRNA maturation factor
K07037	1	 K07037; uncharacterized protein
K06217	1	 phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins
K00981	2	 E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]
K00806	1	 uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
K09807	1	 K09807; uncharacterized protein
K03561	3	 exbB; biopolymer transport protein ExbB
K00046	2	 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K01284	2	 dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]
K03301	1	 TC.AAA; ATP:ADP antiporter, AAA family
K01990	13	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K07979	1	 ytrA; GntR family transcriptional regulator
