KO	GeneNumber	Description
K18845	1	 rmt, armA; 16S rRNA (guanine(1405)-N(7))-methyltransferase [EC:2.1.1.179]
K01692	9	 paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]
K02371	1	 fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K01465	1	 URA4, pyrC; dihydroorotase [EC:3.5.2.3]
K00963	1	 UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K03561	6	 exbB; biopolymer transport protein ExbB
K03559	6	 exbD; biopolymer transport protein ExbD
K11085	1	 msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
K00979	1	 kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K00075	1	 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K08300	1	 rne; ribonuclease E [EC:3.1.26.12]
K06179	1	 rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
K07040	1	 K07040; uncharacterized protein
K02911	1	 RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32
K00645	1	 fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K00059	8	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K20755	1	 E3.4.21.121; Lys-Lys/Arg-Xaa endopeptidase [EC:3.4.21.121]
K00477	3	 PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K03598	1	 rseB; sigma-E factor negative regulatory protein RseB
K03597	1	 rseA; sigma-E factor negative regulatory protein RseA
K03088	3	 rpoE; RNA polymerase sigma-70 factor, ECF subfamily
K07473	4	 dinJ; DNA-damage-inducible protein J
K19166	2	 higB; mRNA interferase HigB [EC:3.1.-.-]
K18831	3	 higA; HTH-type transcriptional regulator / antitoxin HigA
K07133	18	 K07133; uncharacterized protein
K00820	1	 glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
K03657	2	 uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
K03655	6	 recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
K01139	1	 spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]
K00942	1	 E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]
K20034	1	 dmdB; 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]
K03592	1	 pmbA; PmbA protein
K03568	1	 tldD; TldD protein
K08301	1	 rng, cafA; ribonuclease G [EC:3.1.26.-]
K06287	1	 maf; septum formation protein
K03571	1	 mreD; rod shape-determining protein MreD
K03570	1	 mreC; rod shape-determining protein MreC
K03569	1	 mreB; rod shape-determining protein MreB and related proteins
K02435	1	 gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
K02433	2	 gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K02434	1	 gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
K07068	5	 K07068; uncharacterized protein
K07095	2	 K07095; uncharacterized protein
K13409	3	 raxB, cvaB; ATP-binding cassette, subfamily B, bacterial RaxB
K13408	4	 raxA; membrane fusion protein
K07316	8	 mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K09882	1	 cobS; cobaltochelatase CobS [EC:6.6.1.2]
K09883	1	 cobT; cobaltochelatase CobT [EC:6.6.1.2]
K00763	1	 pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K08281	1	 pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K22027	4	 iacA; indole-3-acetate monooxygenase [EC:1.14.13.235]
K00558	7	 DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00104	2	 glcD; glycolate oxidase [EC:1.1.3.15]
K11472	1	 glcE; glycolate oxidase FAD binding subunit
K11473	1	 glcF; glycolate oxidase iron-sulfur subunit
K00127	2	 fdoI, fdsG; formate dehydrogenase subunit gamma
K11178	1	 yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]
K03518	4	 coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
K02014	31	 TC.FEV.OM; iron complex outermembrane recepter protein
K07089	1	 K07089; uncharacterized protein
K04087	2	 hflC; membrane protease subunit HflC [EC:3.4.-.-]
K04088	2	 hflK; membrane protease subunit HflK [EC:3.4.-.-]
K16267	1	 zipB; zinc and cadmium transporter
K15726	1	 czcA; cobalt-zinc-cadmium resistance protein CzcA
K00428	1	 E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K01669	1	 phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K00626	8	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
