KO	GeneNumber	Description
K09826	1	 irr; Fur family transcriptional regulator, iron response regulator
K01885	2	 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
K01469	1	 OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
K03654	5	 recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
K09951	2	 cas2; CRISPR-associated protein Cas2
K15342	2	 cas1; CRISP-associated protein Cas1
K09952	2	 csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
K11912	1	 ppkA; serine/threonine-protein kinase PpkA [EC:2.7.11.1]
K03832	2	 tonB; periplasmic protein TonB
K03559	3	 exbD; biopolymer transport protein ExbD
K03561	4	 exbB; biopolymer transport protein ExbB
K03738	1	 aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
K00571	5	 E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00140	1	 mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K11069	1	 potD; spermidine/putrescine transport system substrate-binding protein
K11072	1	 potA; spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]
K11070	1	 potC; spermidine/putrescine transport system permease protein
K11071	1	 potB; spermidine/putrescine transport system permease protein
K16165	1	 nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]
K09801	1	 K09801; uncharacterized protein
K03308	1	 TC.NSS; neurotransmitter:Na+ symporter, NSS family
K20444	1	 rfbC; O-antigen biosynthesis protein [EC:2.4.1.-]
K00012	2	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00059	3	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K03801	1	 lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]
K03644	1	 lipA; lipoyl synthase [EC:2.8.1.8]
K03768	1	 PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
K14682	1	 argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]
K01438	1	 argE; acetylornithine deacetylase [EC:3.5.1.16]
K01687	1	 ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
K03550	1	 ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]
K01159	1	 ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
