KO	GeneNumber	Description
K07667	4	 kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
K02483	4	 K02483; two-component system, OmpR family, response regulator
K07080	11	 K07080; uncharacterized protein
K09989	1	 K09989; uncharacterized protein
K02056	4	 ABC.SS.A; simple sugar transport system ATP-binding protein [EC:3.6.3.17]
K01246	1	 tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
K12574	1	 rnj; ribonuclease J [EC:3.1.-.-]
K03525	1	 coaX; type III pantothenate kinase [EC:2.7.1.33]
K03524	1	 birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]
K00343	1	 nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]
K00342	1	 nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]
K00341	1	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00340	1	 nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]
K00339	1	 nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]
K00338	1	 nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
K00337	1	 nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
K00336	1	 nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]
K00335	1	 nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]
K00334	1	 nuoE; NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]
K00333	1	 nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]
K00332	1	 nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]
K00331	1	 nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]
K00330	1	 nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]
K07045	7	 K07045; uncharacterized protein
K01799	5	 nicE, maiA; maleate isomerase [EC:5.2.1.1]
K03321	2	 TC.SULP; sulfate permease, SulP family
K10255	1	 FAD6, desA; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]
K09967	7	 K09967; uncharacterized protein
K03694	1	 clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
K06891	2	 clpS; ATP-dependent Clp protease adaptor protein ClpS
K09780	4	 K09780; uncharacterized protein
K10680	1	 nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
K01055	2	 pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
K00059	15	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K06978	2	 K06978; uncharacterized protein
K13771	1	 nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor
K00368	1	 nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K00483	7	 hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
