KO	GeneNumber	Description
K06903	1	 K06903; uncharacterized protein
K03495	1	 gidA, mnmG, MTO1; tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K04758	1	 feoA; ferrous iron transport protein A
K00969	1	 nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K00973	2	 E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
K02371	1	 fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K03820	1	 lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]
K00088	1	 IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K04096	1	 smf; DNA processing protein
K10026	1	 queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
K01491	1	 folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K03630	1	 radC; DNA repair protein RadC
K00948	1	 PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K02897	1	 RP-L25, rplY; large subunit ribosomal protein L25
K01056	1	 PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
K11381	2	 bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]
K01179	1	 E3.2.1.4; endoglucanase [EC:3.2.1.4]
K00812	3	 aspB; aspartate aminotransferase [EC:2.6.1.1]
K03294	4	 TC.APA; basic amino acid/polyamine antiporter, APA family
K03975	1	 dedA; membrane-associated protein
K00024	1	 mdh; malate dehydrogenase [EC:1.1.1.37]
K02065	1	 mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K01586	1	 lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
K06024	1	 scpB; segregation and condensation protein B
K02115	1	 ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
K03070	1	 secA; preprotein translocase subunit SecA
K01619	1	 deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]
K00029	1	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K02066	1	 mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein
K07576	1	 K07576; metallo-beta-lactamase family protein
K00849	1	 galK; galactokinase [EC:2.7.1.6]
K02112	1	 ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
K02114	1	 ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
K07735	2	 algH; putative transcriptional regulator
K07636	3	 phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
K07568	2	 queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K03925	1	 mraZ; MraZ protein
K03438	1	 mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
K03587	1	 ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
K01928	1	 murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
K01000	1	 mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01925	1	 murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
K03588	1	 ftsW, spoVE; cell division protein FtsW
K02563	1	 murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K01924	1	 murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K03589	1	 ftsQ; cell division protein FtsQ
K03590	1	 ftsA; cell division protein FtsA
K03531	1	 ftsZ; cell division protein FtsZ
K07071	1	 K07071; uncharacterized protein
K01990	5	 ABC-2.A; ABC-2 type transport system ATP-binding protein
K07516	1	 fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K02435	1	 gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
K02003	2	 ABC.CD.A; putative ABC transport system ATP-binding protein
K00798	1	 MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K09810	1	 lolD; lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]
K15383	1	 K15383; MtN3 and saliva related transmembrane protein
K00208	1	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K03631	1	 recN; DNA repair protein RecN (Recombination protein N)
K07164	1	 K07164; uncharacterized protein
K00826	4	 E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]
K02935	1	 RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K02864	1	 RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10
K02863	1	 RP-L1, MRPL1, rplA; large subunit ribosomal protein L1
K02867	1	 RP-L11, MRPL11, rplK; large subunit ribosomal protein L11
K02601	1	 nusG; transcriptional antiterminator NusG
K03073	1	 secE; preprotein translocase subunit SecE
K02358	2	 tuf, TUFM; elongation factor Tu
K05808	1	 yhbH; putative sigma-54 modulation protein
K03733	1	 xerC; integrase/recombinase XerC
K02970	2	 RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21
K00793	1	 ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
K04044	1	 hscA; molecular chaperone HscA
K04078	2	 groES, HSPE1; chaperonin GroES
K00108	2	 betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00705	1	 malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
K19802	2	 ycjG, ykfB; L-Ala-D/L-Glu epimerase [EC:5.1.1.20]
K00556	1	 trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
K07058	1	 K07058; membrane protein
K07082	1	 K07082; UPF0755 protein
K03075	1	 secG; preprotein translocase subunit SecG
K06168	1	 miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
K01589	1	 purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
K00457	1	 HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
K07304	1	 msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K07456	1	 mutS2; DNA mismatch repair protein MutS2
K06155	1	 gntT; Gnt-I system high-affinity gluconate transporter
K00033	1	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K01478	1	 arcA; arginine deiminase [EC:3.5.3.6]
K01468	1	 hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]
K01479	1	 hutG; formiminoglutamase [EC:3.5.3.8]
K06997	1	 yggS, PROSC; PLP dependent protein
K01436	1	 K01436; amidohydrolase [EC:3.5.1.-]
K02836	1	 prfB; peptide chain release factor 2
K03313	1	 nhaA; Na+:H+ antiporter, NhaA family
K02067	1	 mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K00655	2	 plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K03648	1	 UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]
K07303	3	 iorB; isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
K07302	3	 iorA; isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
K00382	1	 DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K03797	2	 E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]
K07106	1	 murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K01712	1	 hutU, UROC1; urocanate hydratase [EC:4.2.1.49]
K03521	1	 fixA, etfB; electron transfer flavoprotein beta subunit
K03522	1	 fixB, etfA; electron transfer flavoprotein alpha subunit
K21498	1	 higA-1; antitoxin HigA-1
K05710	1	 hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
K03665	1	 hflX; GTPase
K03654	3	 recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
K01921	3	 ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]
K09936	1	 TC.BAT2; bacterial/archaeal transporter family-2 protein
K19714	1	 kdnB; 3-deoxy-alpha-D-manno-octulosonate 8-oxidase [EC:1.1.3.48]
K00979	2	 kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K02338	1	 dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
K03565	1	 recX; regulatory protein
K01443	1	 nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
K00946	1	 thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
K01092	1	 E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K03814	1	 mtgA; monofunctional glycosyltransferase [EC:2.4.1.129]
K03811	1	 pnuC; nicotinamide mononucleotide transporter
K06351	1	 kipI; inhibitor of KinA
K06350	1	 kipA; antagonist of KipI
K07160	1	 K07160; UPF0271 protein
K06917	1	 selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]
K08296	1	 sixA; phosphohistidine phosphatase [EC:3.1.3.-]
K09384	1	 K09384; uncharacterized protein
K07305	1	 msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
K00939	1	 adk, AK; adenylate kinase [EC:2.7.4.3]
K02557	1	 motB; chemotaxis protein MotB
K03702	1	 uvrB; excinuclease ABC subunit B
K03832	3	 tonB; periplasmic protein TonB
K03767	1	 PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
K02342	3	 dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
K00526	3	 E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00525	7	 E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K02477	3	 K02477; two-component system, LytTR family, response regulator
K01662	1	 dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
K05896	1	 scpA; segregation and condensation protein A
K03282	1	 mscL; large conductance mechanosensitive channel
K02838	1	 frr, MRRF, RRF; ribosome recycling factor
K00615	2	 E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
K09808	2	 lolC_E; lipoprotein-releasing system permease protein
K02834	1	 rbfA; ribosome-binding factor A
K11085	1	 msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
K01870	1	 IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
K08973	1	 K08973; putative membrane protein
K01772	1	 hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
K02492	1	 hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
K01749	1	 hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]
K01719	2	 hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]
K01599	1	 hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]
K00228	1	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K01698	1	 hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]
K01845	1	 hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
K03551	1	 ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]
K07086	1	 K07086; uncharacterized protein
K01869	1	 LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]
K09811	1	 ftsX; cell division transport system permease protein
K06153	1	 bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
K01159	1	 ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
K06902	1	 UMF1; MFS transporter, UMF1 family
K02503	1	 HINT1, hinT, hit; histidine triad (HIT) family protein
K03624	1	 greA; transcription elongation factor GreA
K00058	2	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K02528	1	 ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K00097	1	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K01992	4	 ABC-2.P; ABC-2 type transport system permease protein
K06911	4	 K06911; uncharacterized protein
K02111	1	 ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
K02113	1	 ATPF1D, atpH; F-type H+-transporting ATPase subunit delta
K02109	1	 ATPF0B, atpF; F-type H+-transporting ATPase subunit b
K02110	1	 ATPF0C, atpE; F-type H+-transporting ATPase subunit c
K02108	1	 ATPF0A, atpB; F-type H+-transporting ATPase subunit a
K18890	1	 mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump
K00951	1	 relA; GTP pyrophosphokinase [EC:2.7.6.5]
K01939	1	 purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]
K01665	1	 pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]
K08307	1	 mltD, dniR; membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
K02433	1	 gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K03116	1	 tatA; sec-independent protein translocase protein TatA
K02884	1	 RP-L19, MRPL19, rplS; large subunit ribosomal protein L19
K18682	1	 rny; ribonucrease Y [EC:3.1.-.-]
K09888	1	 zapA; cell division protein ZapA
K01890	1	 FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
K02314	4	 dnaB; replicative DNA helicase [EC:3.6.4.12]
K09761	1	 rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K21470	1	 ycbB; L,D-transpeptidase YcbB
K02343	1	 dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K03113	1	 EIF1, SUI1; translation initiation factor 1
K00767	1	 nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K15633	1	 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K16087	1	 TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein
K03978	1	 engB; GTP-binding protein
K09952	1	 csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
K15342	1	 cas1; CRISP-associated protein Cas1
K09951	1	 cas2; CRISPR-associated protein Cas2
K00134	1	 GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00927	1	 PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
K03744	1	 lemA; LemA protein
K06872	1	 K06872; uncharacterized protein
K01256	1	 pepN; aminopeptidase N [EC:3.4.11.2]
K06173	1	 truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
K02939	1	 RP-L9, MRPL9, rplI; large subunit ribosomal protein L9
K02963	1	 RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18
K02990	1	 RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6
K04079	1	 HSP90A, htpG; molecular chaperone HtpG
K07462	1	 recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
K02523	1	 ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
K19270	1	 yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]
K01669	1	 phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K06876	1	 K06876; deoxyribodipyrimidine photolyase-related protein
K00318	1	 PRODH; proline dehydrogenase [EC:1.5.-.-]
K00560	1	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00287	1	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00324	2	 pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
K00325	1	 pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
K00604	1	 MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]
K01258	1	 pepT; tripeptide aminopeptidase [EC:3.4.11.4]
K00117	1	 gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K07124	2	 K07124; uncharacterized protein
K10764	1	 metZ; O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
K00641	1	 metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K07116	1	 pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]
K00748	1	 lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
K03787	1	 surE; 5'-nucleotidase [EC:3.1.3.5]
K03724	1	 lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]
K10747	2	 LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]
K07577	1	 K07577; putative mRNA 3-end processing factor
K01951	1	 guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
K02968	1	 RP-S20, rpsT; small subunit ribosomal protein S20
K00164	1	 OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00658	2	 DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K03500	1	 rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
K00566	1	 mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
K03111	4	 ssb; single-strand DNA-binding protein
K00928	2	 lysC; aspartate kinase [EC:2.7.2.4]
K00833	1	 bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K03088	17	 rpoE; RNA polymerase sigma-70 factor, ECF subfamily
K18979	1	 queG; epoxyqueuosine reductase [EC:1.17.99.6]
