#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AAM_02534            -            163 Ribosomal_S9         PF00380.18   120   4.3e-48  160.5   0.2   1   1   1.6e-51   5.4e-48  160.2   0.2     1   120    43   163    43   163 0.99 30S ribosomal protein S9
AAM_02205            -            132 Ribosomal_S8         PF00410.18   127   2.7e-47  157.6   0.0   1   1   8.6e-51     3e-47  157.4   0.0     1   127     5   132     5   132 0.95 30S ribosomal protein S8
AAM_02227            -            174 Ribosomal_L10        PF00466.19   100   2.2e-25   86.4   0.1   1   1   9.6e-29   3.3e-25   85.8   0.1     1   100     1    98     1    98 0.98 50S ribosomal protein L10
AAM_01725            -            202 GrpE                 PF01025.18   166   1.5e-39  133.0   0.0   1   1   1.1e-42   1.8e-39  132.7   0.0     8   165    28   190    20   191 0.94 Protein GrpE
AAM_03325            -            477 GrpE                 PF01025.18   166      0.31    8.3   4.9   1   1   0.00045      0.78    7.0   4.9    11    50   271   310   257   369 0.64 O-antigen chain terminator bifunctional methyltransferase/kinase WbdD
AAM_00250            -            174 DUF150               PF02576.16    73     6e-21   72.3   0.0   1   1     3e-24     1e-20   71.6   0.0     1    73    18    91    18    91 0.96 Ribosome maturation factor RimP
AAM_00473            -            716 PNPase               PF03726.13    83     7e-17   59.4   3.4   1   1   6.5e-20   2.2e-16   57.8   3.4     2    83   244   320   243   320 0.94 Polyribonucleotide nucleotidyltransferase
AAM_00083            -            313 TIGR00006            TIGR00006    310   7.5e-89  295.8   0.0   1   1   2.4e-92   8.3e-89  295.6   0.0     6   309     6   310     1   311 0.93 Ribosomal RNA small subunit methyltransferase H
AAM_00893            -            352 TIGR00019            TIGR00019    361  2.6e-144  478.2   0.6   1   1  1.8e-147  3.2e-144  477.9   0.6     6   356     3   348     1   351 0.96 Peptide chain release factor RF1
AAM_01766            -            323 TIGR00019            TIGR00019    361   4.9e-78  260.1   0.7   1   1   3.4e-81   5.8e-78  259.9   0.7    41   348     3   308     1   320 0.89 Peptide chain release factor RF2
AAM_01766            -            323 TIGR00020            TIGR00020    365  9.5e-141  466.5   1.2   1   1  6.2e-144  1.1e-140  466.4   1.2    57   364     3   310     1   311 0.99 Peptide chain release factor RF2
AAM_00893            -            352 TIGR00020            TIGR00020    365   1.2e-75  252.3   0.1   1   1     9e-79   1.5e-75  252.0   0.1    92   360    62   338    20   342 0.87 Peptide chain release factor RF1
AAM_03491            -             90 TIGR00029            TIGR00029     87   7.2e-23   78.5   8.4   1   1   2.3e-26     8e-23   78.4   8.4     1    86     1    86     1    87 0.98 30S ribosomal protein S20
AAM_01426            -            150 TIGR00043            TIGR00043    111   4.9e-19   66.1   0.7   1   1   1.4e-21   4.7e-18   62.9   0.7     5   111    49   141    45   141 0.95 Endoribonuclease YbeY
AAM_02919            -            353 TIGR00054            TIGR00054    421   2.5e-90  300.9   0.0   1   2   1.7e-39   1.5e-36  123.8   0.1     7   136     9   139     2   141 0.91 Metalloprotease MmpA
AAM_02919            -            353 TIGR00054            TIGR00054    421   2.5e-90  300.9   0.0   2   2     4e-57   3.5e-54  181.8   0.0   199   420   127   352   124   353 0.97 Metalloprotease MmpA
AAM_01388            -            508 TIGR00054            TIGR00054    421   1.9e-13   47.7   0.0   1   2   3.8e-09   3.3e-06   23.8   0.0   204   268   316   381   272   399 0.81 Periplasmic pH-dependent serine endoprotease DegQ
