#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
bin497_00764         -            130 Ribosomal_S9         PF00380.18   120     2e-45  150.2   0.4   1   1   2.2e-48   2.2e-45  150.1   0.4     1   120     9   130     9   130 0.98 30S ribosomal protein S9
bin497_00648         -            131 Ribosomal_S8         PF00410.18   127   1.4e-49  163.3   0.3   1   1   1.5e-52   1.5e-49  163.1   0.3     1   127     3   131     3   131 0.97 30S ribosomal protein S8
bin497_00605         -            176 Ribosomal_L10        PF00466.19   100   1.2e-22   76.0   1.8   1   1     2e-25     2e-22   75.2   1.8     1   100     1   101     1   101 0.95 50S ribosomal protein L10
bin497_00840         -            213 GrpE                 PF01025.18   166   1.1e-40  135.0   4.6   1   2     0.076        79   -1.2   6.9     8    54     2    48     1    55 0.86 Protein GrpE
bin497_00840         -            213 GrpE                 PF01025.18   166   1.1e-40  135.0   4.6   2   2   1.1e-43   1.1e-40  135.0   4.6    10   164    57   211    48   212 0.95 Protein GrpE
bin497_00211         -            155 DUF150               PF02576.16    73   1.3e-08   31.1   0.1   1   1   2.2e-11   2.3e-08   30.4   0.1     5    73    13    76    10    76 0.87 Ribosome maturation factor RimP
bin497_00815         -            366 TIGR00019            TIGR00019    361  1.1e-143  474.4   0.2   1   1  2.4e-146  1.2e-143  474.2   0.2     3   357     4   360     1   364 0.98 Peptide chain release factor 1
bin497_00274         -            382 TIGR00019            TIGR00019    361   8.5e-68  224.7   0.3   1   1   2.1e-70   1.1e-67  224.4   0.3    10   349    23   368    15   373 0.91 Peptide chain release factor RF2
bin497_00274         -            382 TIGR00020            TIGR00020    365  2.1e-134  443.9   4.9   1   1  4.6e-137  2.4e-134  443.7   4.9     7   363     4   368     1   370 0.98 Peptide chain release factor RF2
bin497_00815         -            366 TIGR00020            TIGR00020    365   3.4e-83  275.4   0.4   1   1   7.4e-86   3.8e-83  275.3   0.4    28   360    13   349     1   354 0.92 Peptide chain release factor 1
bin497_00429         -            191 TIGR00054            TIGR00054    421   6.4e-09   31.0   0.5   1   2   7.2e-11   7.4e-08   27.5   0.2   193   271    10    88     4   129 0.79 Periplasmic serine endoprotease DegP
bin497_00429         -            191 TIGR00054            TIGR00054    421   6.4e-09   31.0   0.5   2   2    0.0059       6.2    1.4   0.0   215   248   136   169   124   183 0.80 Periplasmic serine endoprotease DegP
bin497_00241         -            155 TIGR00059            TIGR00059    112   3.4e-41  136.0   0.0   1   1   5.1e-44   5.3e-41  135.4   0.0     2   112     7   117     6   117 0.99 50S ribosomal protein L17
bin497_00490         -            765 TIGR00064            TIGR00064    279    0.0037   12.4   0.0   1   1   1.4e-05    0.0071   11.5   0.0    29   111   180   258   166   262 0.64 Primosomal protein N'
